id	action	attribute	value
nmdc:omprc-11-bn8jcq58	remove item	has_output	jgi:55d740280d8785342fcf7e39|
nmdc:omprc-11-bn8jcq58	insert	has_output	nmdc:dobj-11-xkx6jy64|
nmdc:omprc-11-zp2ar437	remove item	has_output	jgi:55d817fc0d8785342fcf8274|
nmdc:omprc-11-zp2ar437	insert	has_output	nmdc:dobj-11-26xaf448|
nmdc:omprc-11-wepaa271	remove item	has_output	jgi:55d740240d8785342fcf7e37|
nmdc:omprc-11-wepaa271	insert	has_output	nmdc:dobj-11-ee1cn292|
nmdc:omprc-11-hymrq852	remove item	has_output	jgi:55a9cb010d87852b21508920|
nmdc:omprc-11-hymrq852	insert	has_output	nmdc:dobj-11-kt904y47|
nmdc:omprc-11-yt8css91	remove item	has_output	jgi:55d818010d8785342fcf8278|
nmdc:omprc-11-yt8css91	insert	has_output	nmdc:dobj-11-1qqy8057|
nmdc:omprc-11-hgehsc37	remove item	has_output	jgi:55d817f20d8785342fcf826c|
nmdc:omprc-11-hgehsc37	insert	has_output	nmdc:dobj-11-d8vd2744|
nmdc:omprc-11-7vsv7h78	remove item	has_output	jgi:55f23d790d8785306f96497e|
nmdc:omprc-11-7vsv7h78	insert	has_output	nmdc:dobj-11-xhvk5873|
nmdc:omprc-11-5r54nt37	remove item	has_output	jgi:574fde547ded5e3df1ee13fa|
nmdc:omprc-11-5r54nt37	insert	has_output	nmdc:dobj-11-ym2gpg27|
nmdc:omprc-11-76ebsj44	remove item	has_output	jgi:574fde787ded5e3df1ee1416|
nmdc:omprc-11-76ebsj44	insert	has_output	nmdc:dobj-11-mgpw8m22|
nmdc:omprc-11-s6wqag22	remove item	has_output	jgi:574fde7b7ded5e3df1ee1418|
nmdc:omprc-11-s6wqag22	insert	has_output	nmdc:dobj-11-vkxna711|
nmdc:omprc-11-x0es2p18	remove item	has_output	jgi:574fde577ded5e3df1ee13fc|
nmdc:omprc-11-x0es2p18	insert	has_output	nmdc:dobj-11-38txm578|
nmdc:omprc-11-1nvcer55	remove item	has_output	jgi:574fde587ded5e3df1ee13fd|
nmdc:omprc-11-1nvcer55	insert	has_output	nmdc:dobj-11-h7t4fx79|
nmdc:omprc-11-b051xn44	remove item	has_output	jgi:574fe09a7ded5e3df1ee1485|
nmdc:omprc-11-b051xn44	insert	has_output	nmdc:dobj-11-zc62cx90|
nmdc:omprc-11-k8kt2j31	remove item	has_output	jgi:574fde5b7ded5e3df1ee13ff|
nmdc:omprc-11-k8kt2j31	insert	has_output	nmdc:dobj-11-ba1s7a39|
nmdc:omprc-11-9pbab972	remove item	has_output	jgi:574fde7c7ded5e3df1ee1419|
nmdc:omprc-11-9pbab972	insert	has_output	nmdc:dobj-11-s1m79s13|
nmdc:omprc-11-0g415160	remove item	has_output	jgi:574fde5e7ded5e3df1ee1401|
nmdc:omprc-11-0g415160	insert	has_output	nmdc:dobj-11-br8p6y08|
nmdc:omprc-11-z5qv0f24	remove item	has_output	jgi:574fe0967ded5e3df1ee1482|
nmdc:omprc-11-z5qv0f24	insert	has_output	nmdc:dobj-11-pk311p17|
nmdc:omprc-11-8qms8262	remove item	has_output	jgi:574fde807ded5e3df1ee141b|
nmdc:omprc-11-8qms8262	insert	has_output	nmdc:dobj-11-rbvvgr79|
nmdc:omprc-11-k675bw84	remove item	has_output	jgi:574fe09f7ded5e3df1ee1489|
nmdc:omprc-11-k675bw84	insert	has_output	nmdc:dobj-11-ezyfxj50|
nmdc:omprc-11-mbv2jc69	remove item	has_output	jgi:574fe09c7ded5e3df1ee1487|
nmdc:omprc-11-mbv2jc69	insert	has_output	nmdc:dobj-11-y27yqy58|
nmdc:omprc-11-kc23zq65	remove item	has_output	jgi:574fde607ded5e3df1ee1403|
nmdc:omprc-11-kc23zq65	insert	has_output	nmdc:dobj-11-mmsvm346|
nmdc:omprc-11-c8dzx197	remove item	has_output	jgi:574fde647ded5e3df1ee1406|
nmdc:omprc-11-c8dzx197	insert	has_output	nmdc:dobj-11-0vpq2471|
nmdc:omprc-11-tgxmb243	remove item	has_output	jgi:574fde837ded5e3df1ee141d|
nmdc:omprc-11-tgxmb243	insert	has_output	nmdc:dobj-11-assd7y33|
nmdc:omprc-11-t0xjjc50	remove item	has_output	jgi:55d7402a0d8785342fcf7e3b|
nmdc:omprc-11-t0xjjc50	insert	has_output	nmdc:dobj-11-1v0g7c04|
nmdc:omprc-11-1avd3d16	remove item	has_output	jgi:55d7402c0d8785342fcf7e3e|
nmdc:omprc-11-1avd3d16	insert	has_output	nmdc:dobj-11-k5qf8f61|
nmdc:omprc-11-hk1bje46	remove item	has_output	jgi:55d817f70d8785342fcf8270|
nmdc:omprc-11-hk1bje46	insert	has_output	nmdc:dobj-11-wvje1j80|
nmdc:omprc-11-qtje8r57	remove item	has_output	jgi:55d817fa0d8785342fcf8272|
nmdc:omprc-11-qtje8r57	insert	has_output	nmdc:dobj-11-sp1dx351|
nmdc:omprc-11-7ey2jr63	remove item	has_output	jgi:55d740220d8785342fcf7e35|
nmdc:omprc-11-7ey2jr63	insert	has_output	nmdc:dobj-11-h4fha619|
nmdc:omprc-11-qngh7497	remove item	has_output	jgi:55a9caff0d87852b2150891e|
nmdc:omprc-11-qngh7497	insert	has_output	nmdc:dobj-11-p9rq4261|
nmdc:omprc-11-jk7zjz92	remove item	has_output	jgi:55d817f30d8785342fcf826d|
nmdc:omprc-11-jk7zjz92	insert	has_output	nmdc:dobj-11-phjw3w62|
nmdc:omprc-11-2jt0jk84	remove item	has_output	jgi:55f23d820d8785306f964980|
nmdc:omprc-11-2jt0jk84	insert	has_output	nmdc:dobj-11-7pwab132|
