collection_name	legacy_id	new_id
biosample_set	gold:Gb0195857	nmdc:bsm-11-e2bq8t48
biosample_set	gold:Gb0192457	nmdc:bsm-11-y7xe1z37
omics_processing_set	gold:Gp0344833	nmdc:omprc-11-b7bvks82
omics_processing_set	gold:Gp0325961	nmdc:omprc-11-ewna4w82
omics_processing_set	gold:Gp0344883	nmdc:omprc-11-2e3pne24
omics_processing_set	gold:Gp0344888	nmdc:omprc-11-vx26jb23
omics_processing_set	gold:Gp0344819	nmdc:omprc-11-r1z85q53
biosample_set	gold:Gb0195855	nmdc:bsm-11-2npw1g23
omics_processing_set	gold:Gp0208574	nmdc:omprc-11-jx8wh835
omics_processing_set	gold:Gp0344900	nmdc:omprc-11-kg0c9h72
biosample_set	gold:Gb0195889	nmdc:bsm-11-pn4k7a71
biosample_set	gold:Gb0195905	nmdc:bsm-11-z6mynx16
omics_processing_set	gold:Gp0344836	nmdc:omprc-11-zakqg621
omics_processing_set	gold:Gp0208580	nmdc:omprc-11-gg774c88
omics_processing_set	gold:Gp0344850	nmdc:omprc-11-yvz6xe93
biosample_set	gold:Gb0195886	nmdc:bsm-11-ce456m46
biosample_set	gold:Gb0195901	nmdc:bsm-11-e6zvzn58
biosample_set	gold:Gb0195868	nmdc:bsm-11-s10a8h22
omics_processing_set	gold:Gp0208578	nmdc:omprc-11-2jdwnq75
biosample_set	gold:Gb0195892	nmdc:bsm-11-f6tpj848
biosample_set	gold:Gb0195842	nmdc:bsm-11-xcdaak61
omics_processing_set	gold:Gp0344857	nmdc:omprc-11-8bawbk77
omics_processing_set	gold:Gp0208581	nmdc:omprc-11-zv9zwk83
omics_processing_set	gold:Gp0344835	nmdc:omprc-11-20eex470
biosample_set	gold:Gb0195879	nmdc:bsm-11-vk5d5609
biosample_set	gold:Gb0195907	nmdc:bsm-11-92cr2g31
biosample_set	gold:Gb0195844	nmdc:bsm-11-67sr4s18
biosample_set	gold:Gb0195849	nmdc:bsm-11-cg1kxx98
omics_processing_set	gold:Gp0344816	nmdc:omprc-11-1mc5dw93
omics_processing_set	gold:Gp0344872	nmdc:omprc-11-xekagw37
omics_processing_set	gold:Gp0325960	nmdc:omprc-11-n5hmg641
omics_processing_set	gold:Gp0344824	nmdc:omprc-11-mwkkwk58
omics_processing_set	gold:Gp0344837	nmdc:omprc-11-my9sm693
omics_processing_set	gold:Gp0344864	nmdc:omprc-11-bnk1qk34
biosample_set	gold:Gb0195858	nmdc:bsm-11-z7p0d098
omics_processing_set	gold:Gp0344829	nmdc:omprc-11-nd491r35
biosample_set	gold:Gb0195883	nmdc:bsm-11-j6hv1q66
biosample_set	gold:Gb0195871	nmdc:bsm-11-05m5kp37
omics_processing_set	gold:Gp0344879	nmdc:omprc-11-b5wtbx14
biosample_set	gold:Gb0195856	nmdc:bsm-11-v2g7cd24
omics_processing_set	gold:Gp0344856	nmdc:omprc-11-2sv5a415
biosample_set	gold:Gb0195845	nmdc:bsm-11-3m5y7993
biosample_set	gold:Gb0195867	nmdc:bsm-11-68nk8576
biosample_set	gold:Gb0195865	nmdc:bsm-11-v3yms260
biosample_set	gold:Gb0195919	nmdc:bsm-11-6mrqvx97
omics_processing_set	gold:Gp0208575	nmdc:omprc-11-j3nz6r78
biosample_set	gold:Gb0195839	nmdc:bsm-11-1rn3f820
omics_processing_set	gold:Gp0344822	nmdc:omprc-11-0pccjr98
biosample_set	gold:Gb0195888	nmdc:bsm-11-9n514080
biosample_set	gold:Gb0150429	nmdc:bsm-11-92xxdg53
biosample_set	gold:Gb0195912	nmdc:bsm-11-0dvkcy09
biosample_set	gold:Gb0195876	nmdc:bsm-11-h3434947
omics_processing_set	gold:Gp0344831	nmdc:omprc-11-zf551542
omics_processing_set	gold:Gp0344893	nmdc:omprc-11-h449t464
omics_processing_set	gold:Gp0344827	nmdc:omprc-11-32zb8d38
omics_processing_set	gold:Gp0344855	nmdc:omprc-11-8ceve109
omics_processing_set	gold:Gp0344885	nmdc:omprc-11-3ardd497
omics_processing_set	gold:Gp0344875	nmdc:omprc-11-dc1n4205
study_set	gold:Gs0128850	nmdc:sty-11-076c9980
biosample_set	gold:Gb0192459	nmdc:bsm-11-8b47yq58
biosample_set	gold:Gb0150427	nmdc:bsm-11-rz68jz92
biosample_set	gold:Gb0195874	nmdc:bsm-11-2pdqgg53
omics_processing_set	gold:Gp0344841	nmdc:omprc-11-0hw85g62
biosample_set	gold:Gb0195863	nmdc:bsm-11-gxyy9806
omics_processing_set	gold:Gp0344853	nmdc:omprc-11-54b81z38
biosample_set	gold:Gb0195869	nmdc:bsm-11-pp7xvm40
biosample_set	gold:Gb0195866	nmdc:bsm-11-a9890910
biosample_set	gold:Gb0195918	nmdc:bsm-11-xk49fy68
biosample_set	gold:Gb0192461	nmdc:bsm-11-54rzej73
biosample_set	gold:Gb0195852	nmdc:bsm-11-dxgvjt61
omics_processing_set	gold:Gp0344884	nmdc:omprc-11-dwjptm53
omics_processing_set	gold:Gp0344897	nmdc:omprc-11-wrhxv834
omics_processing_set	gold:Gp0344844	nmdc:omprc-11-e5dwhb25
biosample_set	gold:Gb0195900	nmdc:bsm-11-ce0k8x59
omics_processing_set	gold:Gp0208583	nmdc:omprc-11-yfgx1637
biosample_set	gold:Gb0195836	nmdc:bsm-11-30160653
omics_processing_set	gold:Gp0344899	nmdc:omprc-11-tb28vk02
biosample_set	gold:Gb0195916	nmdc:bsm-11-9qr9ap05
biosample_set	gold:Gb0192458	nmdc:bsm-11-be0a2j83
omics_processing_set	gold:Gp0325956	nmdc:omprc-11-e90rqy42
omics_processing_set	gold:Gp0344898	nmdc:omprc-11-w6yqzq51
biosample_set	gold:Gb0195896	nmdc:bsm-11-qv5c7702
biosample_set	gold:Gb0195895	nmdc:bsm-11-dmwkrw33
omics_processing_set	gold:Gp0344823	nmdc:omprc-11-z32h3d70
omics_processing_set	gold:Gp0344842	nmdc:omprc-11-mdg6hf42
omics_processing_set	gold:Gp0344894	nmdc:omprc-11-tmz1s073
omics_processing_set	gold:Gp0344861	nmdc:omprc-11-24aket55
omics_processing_set	gold:Gp0344821	nmdc:omprc-11-at96xx19
biosample_set	gold:Gb0195894	nmdc:bsm-11-2jcr6626
omics_processing_set	gold:Gp0344889	nmdc:omprc-11-f9kgjv46
omics_processing_set	gold:Gp0344818	nmdc:omprc-11-qd82qf88
biosample_set	gold:Gb0195848	nmdc:bsm-11-zvj2bf24
biosample_set	gold:Gb0192462	nmdc:bsm-11-7dw1fh56
biosample_set	gold:Gb0195859	nmdc:bsm-11-jqnrez63
omics_processing_set	gold:Gp0344901	nmdc:omprc-11-9z0v7853
biosample_set	gold:Gb0195878	nmdc:bsm-11-pzezjj26
omics_processing_set	gold:Gp0344876	nmdc:omprc-11-k2nayp42
biosample_set	gold:Gb0195880	nmdc:bsm-11-kzmqz337
biosample_set	gold:Gb0195882	nmdc:bsm-11-wgm2gc35
omics_processing_set	gold:Gp0325958	nmdc:omprc-11-vwb7as24
omics_processing_set	gold:Gp0325955	nmdc:omprc-11-htmtem46
omics_processing_set	gold:Gp0344858	nmdc:omprc-11-4hg1hd11
biosample_set	gold:Gb0195850	nmdc:bsm-11-asb16m86
biosample_set	gold:Gb0195898	nmdc:bsm-11-qpp1j108
biosample_set	gold:Gb0195884	nmdc:bsm-11-95x0ph47
biosample_set	gold:Gb0195920	nmdc:bsm-11-88kssc71
omics_processing_set	gold:Gp0344881	nmdc:omprc-11-rpm3b257
omics_processing_set	gold:Gp0344828	nmdc:omprc-11-rbkhbg25
biosample_set	gold:Gb0195853	nmdc:bsm-11-b9xefn28
biosample_set	gold:Gb0195902	nmdc:bsm-11-6tgze178
biosample_set	gold:Gb0195893	nmdc:bsm-11-9fphtz92
biosample_set	gold:Gb0195837	nmdc:bsm-11-y8mg6568
biosample_set	gold:Gb0195860	nmdc:bsm-11-3a6fv767
biosample_set	gold:Gb0195910	nmdc:bsm-11-1ze4mb29
biosample_set	gold:Gb0195913	nmdc:bsm-11-4zj9gc28
omics_processing_set	gold:Gp0344886	nmdc:omprc-11-qn4rtq23
biosample_set	gold:Gb0195887	nmdc:bsm-11-mq7ehd26
biosample_set	gold:Gb0195854	nmdc:bsm-11-5aj0z466
omics_processing_set	gold:Gp0344866	nmdc:omprc-11-4a5t7857
omics_processing_set	gold:Gp0344847	nmdc:omprc-11-05he4t39
biosample_set	gold:Gb0195843	nmdc:bsm-11-zshvq766
omics_processing_set	gold:Gp0325957	nmdc:omprc-11-zwmr0755
biosample_set	gold:Gb0195846	nmdc:bsm-11-v7ahvn18
biosample_set	gold:Gb0150425	nmdc:bsm-11-ac8q3p77
omics_processing_set	gold:Gp0344887	nmdc:omprc-11-a783tq32
omics_processing_set	gold:Gp0344892	nmdc:omprc-11-mebjse52
omics_processing_set	gold:Gp0208582	nmdc:omprc-11-cd0sed32
omics_processing_set	gold:Gp0208576	nmdc:omprc-11-qwa04t04
biosample_set	gold:Gb0195897	nmdc:bsm-11-v826p438
omics_processing_set	gold:Gp0344820	nmdc:omprc-11-xny4k109
biosample_set	gold:Gb0195847	nmdc:bsm-11-7yk57y24
omics_processing_set	gold:Gp0325954	nmdc:omprc-11-dk6txz53
omics_processing_set	gold:Gp0344834	nmdc:omprc-11-wmzpa354
biosample_set	gold:Gb0195861	nmdc:bsm-11-bw7qb106
omics_processing_set	gold:Gp0344882	nmdc:omprc-11-7vmjtx85
omics_processing_set	gold:Gp0344870	nmdc:omprc-11-f5w4hr34
omics_processing_set	gold:Gp0344871	nmdc:omprc-11-r3nv1v69
omics_processing_set	gold:Gp0208579	nmdc:omprc-11-5fh1ys84
biosample_set	gold:Gb0195909	nmdc:bsm-11-6a20rt08
biosample_set	gold:Gb0195917	nmdc:bsm-11-epes9h39
omics_processing_set	gold:Gp0344854	nmdc:omprc-11-4gw22g06
omics_processing_set	gold:Gp0344817	nmdc:omprc-11-rw0rr724
biosample_set	gold:Gb0150430	nmdc:bsm-11-c6g7jb68
biosample_set	gold:Gb0195911	nmdc:bsm-11-4jp9g708
omics_processing_set	gold:Gp0344826	nmdc:omprc-11-91vmga84
biosample_set	gold:Gb0192454	nmdc:bsm-11-nntb2b19
biosample_set	gold:Gb0195908	nmdc:bsm-11-m1vpz356
biosample_set	gold:Gb0195864	nmdc:bsm-11-mfn0tw54
omics_processing_set	gold:Gp0344880	nmdc:omprc-11-pjff1712
omics_processing_set	gold:Gp0344838	nmdc:omprc-11-q2mk8a23
biosample_set	gold:Gb0195890	nmdc:bsm-11-a57zjt20
biosample_set	gold:Gb0150424	nmdc:bsm-11-jyswqd53
omics_processing_set	gold:Gp0344832	nmdc:omprc-11-9649km22
omics_processing_set	gold:Gp0344843	nmdc:omprc-11-rat79h96
omics_processing_set	gold:Gp0344878	nmdc:omprc-11-qnbdmj58
biosample_set	gold:Gb0195851	nmdc:bsm-11-djwhcy84
biosample_set	gold:Gb0150426	nmdc:bsm-11-xttvcf02
omics_processing_set	gold:Gp0344840	nmdc:omprc-11-19zgat23
omics_processing_set	gold:Gp0344896	nmdc:omprc-11-7tv84614
biosample_set	gold:Gb0150431	nmdc:bsm-11-xm24hr93
biosample_set	gold:Gb0150423	nmdc:bsm-11-qrffcr64
