collection_name	legacy_id	new_id
biosample_set	gold:Gb0115848	nmdc:bsm-11-35zsgb58
biosample_set	gold:Gb0115841	nmdc:bsm-11-vrsw1c02
biosample_set	gold:Gb0115855	nmdc:bsm-11-e50em075
omics_processing_set	gold:Gp0116320	nmdc:omprc-11-bq3k1133
biosample_set	gold:Gb0115847	nmdc:bsm-11-b2w6cr26
omics_processing_set	gold:Gp0116347	nmdc:omprc-11-xe1tnq82
omics_processing_set	gold:Gp0116342	nmdc:omprc-11-s9frcr52
omics_processing_set	gold:Gp0116345	nmdc:omprc-11-7rzb6h40
omics_processing_set	gold:Gp0116344	nmdc:omprc-11-6t4xtj06
omics_processing_set	gold:Gp0116325	nmdc:omprc-11-avb2ar74
omics_processing_set	gold:Gp0116335	nmdc:omprc-11-5j5nn961
biosample_set	gold:Gb0115850	nmdc:bsm-11-kmw7r933
omics_processing_set	gold:Gp0116337	nmdc:omprc-11-v3trre32
biosample_set	gold:Gb0115866	nmdc:bsm-11-ra4act47
biosample_set	gold:Gb0115856	nmdc:bsm-11-nxhj1324
omics_processing_set	gold:Gp0116336	nmdc:omprc-11-zddsns43
biosample_set	gold:Gb0115863	nmdc:bsm-11-x0gt4r57
omics_processing_set	gold:Gp0116323	nmdc:omprc-11-jesygj92
omics_processing_set	gold:Gp0116328	nmdc:omprc-11-xdccq123
omics_processing_set	gold:Gp0116332	nmdc:omprc-11-4sgatc70
biosample_set	gold:Gb0115840	nmdc:bsm-11-y31mxv90
omics_processing_set	gold:Gp0116339	nmdc:omprc-11-25xzpv94
omics_processing_set	gold:Gp0116326	nmdc:omprc-11-kzcsn056
omics_processing_set	gold:Gp0116329	nmdc:omprc-11-jcxbns11
omics_processing_set	gold:Gp0116334	nmdc:omprc-11-t5rz3j73
omics_processing_set	gold:Gp0116338	nmdc:omprc-11-nypks826
omics_processing_set	gold:Gp0116346	nmdc:omprc-11-s6950689
biosample_set	gold:Gb0115867	nmdc:bsm-11-4cf44p06
omics_processing_set	gold:Gp0116324	nmdc:omprc-11-ve7p1r49
biosample_set	gold:Gb0115838	nmdc:bsm-11-k1twxb65
omics_processing_set	gold:Gp0116321	nmdc:omprc-11-zm017c24
omics_processing_set	gold:Gp0116348	nmdc:omprc-11-2dxjvz12
biosample_set	gold:Gb0115860	nmdc:bsm-11-q0kq3j07
biosample_set	gold:Gb0115845	nmdc:bsm-11-0k8nkx16
biosample_set	gold:Gb0115864	nmdc:bsm-11-cq098052
biosample_set	gold:Gb0115844	nmdc:bsm-11-tz96dg48
biosample_set	gold:Gb0115842	nmdc:bsm-11-3xc5ft48
biosample_set	gold:Gb0115846	nmdc:bsm-11-bja22k98
biosample_set	gold:Gb0115861	nmdc:bsm-11-gct9a904
biosample_set	gold:Gb0115851	nmdc:bsm-11-pp3dyq82
